Result for strategy BigZ07
============================================================ BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|   ALGO/USDT |      1 |           1.80 |           1.80 |             0.460 |           0.57 |  1 day, 5:20:00 |     1     0     0   100 |
|    NEO/USDT |      1 |           1.80 |           1.80 |             0.454 |           0.57 |         7:55:00 |     1     0     0   100 |
|    GRT/USDT |      1 |           1.80 |           1.80 |             0.411 |           0.51 |         0:10:00 |     1     0     0   100 |
|    ATM/USDT |      1 |           1.80 |           1.80 |             0.396 |           0.49 |         0:10:00 |     1     0     0   100 |
|    STX/USDT |      3 |           0.50 |           1.50 |             0.390 |           0.49 |         1:07:00 |     3     0     0   100 |
|    ZRX/USDT |      1 |           1.80 |           1.80 |             0.388 |           0.49 |         0:15:00 |     1     0     0   100 |
|  THETA/USDT |      2 |           0.89 |           1.77 |             0.376 |           0.47 |         1:02:00 |     2     0     0   100 |
|    ETH/USDT |      1 |           1.28 |           1.28 |             0.376 |           0.47 |         0:40:00 |     1     0     0   100 |
|    OMG/USDT |      3 |           0.50 |           1.50 |             0.369 |           0.46 |         1:10:00 |     3     0     0   100 |
|    AVA/USDT |      2 |           0.79 |           1.58 |             0.347 |           0.43 |         0:40:00 |     2     0     0   100 |
|    DGB/USDT |      1 |           1.32 |           1.32 |             0.338 |           0.42 |         0:40:00 |     1     0     0   100 |
|    MBL/USDT |      8 |           0.13 |           1.00 |             0.292 |           0.36 |         9:50:00 |     7     0     1  87.5 |
|   QTUM/USDT |      2 |           0.63 |           1.26 |             0.286 |           0.36 |         1:00:00 |     2     0     0   100 |
|    LTC/USDT |      1 |           1.16 |           1.16 |             0.275 |           0.34 |         0:40:00 |     1     0     0   100 |
|    OXT/USDT |      2 |           0.50 |           1.00 |             0.256 |           0.32 |         2:02:00 |     2     0     0   100 |
|   CAKE/USDT |      2 |           0.50 |           1.00 |             0.242 |           0.30 |         0:50:00 |     2     0     0   100 |
|   KAVA/USDT |      2 |           0.50 |           1.00 |             0.231 |           0.29 |         1:12:00 |     2     0     0   100 |
|    DNT/USDT |      2 |           0.50 |           1.00 |             0.224 |           0.28 |         1:58:00 |     2     0     0   100 |
|    PNT/USDT |      2 |           0.50 |           1.00 |             0.220 |           0.28 |         1:32:00 |     2     0     0   100 |
|   POND/USDT |      2 |           0.50 |           1.00 |             0.208 |           0.26 |         1:25:00 |     2     0     0   100 |
|  MATIC/USDT |      1 |           0.50 |           0.50 |             0.145 |           0.18 |         2:45:00 |     1     0     0   100 |
| BURGER/USDT |      1 |           0.50 |           0.50 |             0.133 |           0.17 |         0:45:00 |     1     0     0   100 |
|    ADA/USDT |      1 |           0.58 |           0.58 |             0.117 |           0.15 |         0:40:00 |     1     0     0   100 |
|    MKR/USDT |      1 |           0.50 |           0.50 |             0.114 |           0.14 |         1:05:00 |     1     0     0   100 |
|    SXP/USDT |      1 |           0.50 |           0.50 |             0.113 |           0.14 |         2:10:00 |     1     0     0   100 |
|    ZEN/USDT |      1 |           0.50 |           0.50 |             0.112 |           0.14 |         1:20:00 |     1     0     0   100 |
|   HBAR/USDT |      1 |           0.50 |           0.50 |             0.111 |           0.14 |         0:40:00 |     1     0     0   100 |
|    ZIL/USDT |      1 |           0.50 |           0.50 |             0.111 |           0.14 |         2:10:00 |     1     0     0   100 |
|    ONT/USDT |      1 |           0.50 |           0.50 |             0.102 |           0.13 |         1:20:00 |     1     0     0   100 |
|    WRX/USDT |      1 |           0.50 |           0.50 |             0.099 |           0.12 |         1:15:00 |     1     0     0   100 |
|   AION/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   AVAX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    BAT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
